,Candidate,State,District,Office Type,Partisan Lean,Primary %,Won Primary,Gender,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,Hillary_Won?,Obama_Won?
58,Katie Hill,CA,U.S. House California District 25,Representative,0.0202,0.42970001,Yes,Female,White,No,Yes,No,No,No,No,0.366869792098571,0.0477752466850192,0.45118252048452645,0.633130207901429,0.28682760666884854,0.506116242269784,0.4104270469236305,0.12898591230123,68272.5,0.08200165363069029,0.19427778235244553,0.6851801544193296,0.0473416131800909,0.55320350738715,0.018648852377886813,1,1
59,Mary Pallant,CA,U.S. House California District 25,Representative,0.0202,0.0554,No,Female,White,No,No,No,No,No,No,0.366869792098571,0.0477752466850192,0.45118252048452645,0.633130207901429,0.28682760666884854,0.506116242269784,0.4104270469236305,0.12898591230123,68272.5,0.08200165363069029,0.19427778235244553,0.6851801544193296,0.0473416131800909,0.55320350738715,0.018648852377886813,1,1
60,Andy Thorburn,CA,U.S. House California District 39,Representative,0.029900000000000003,0.20440001000000002,No,Male,White,No,No,No,Yes,No,No,0.3306950088570813,0.058616532397745544,0.44738283634379267,0.6693049911429186,0.28744975524794836,0.5053805330696602,0.4256105464837787,0.11911902945885033,63522.0,0.08882227565917981,0.1966020370551947,0.7049050596414339,0.06019779285781101,0.6005888737010221,0.01827687311420009,1,1
61,Gil Cisneros,CA,U.S. House California District 39,Representative,0.029900000000000003,0.43229999999999996,Yes,Male,Nonwhite,Yes,No,No,Yes,No,No,0.3306950088570813,0.058616532397745544,0.44738283634379267,0.6693049911429186,0.28744975524794836,0.5053805330696602,0.4256105464837787,0.11911902945885033,63522.0,0.08882227565917981,0.1966020370551947,0.7049050596414339,0.06019779285781101,0.6005888737010221,0.01827687311420009,1,1
62,Herbert Lee,CA,U.S. House California District 39,Representative,0.029900000000000003,0.09420000099999999,No,Male,Nonwhite,No,No,No,Yes,Yes,No,0.3306950088570813,0.058616532397745544,0.44738283634379267,0.6693049911429186,0.28744975524794836,0.5053805330696602,0.4256105464837787,0.11911902945885033,63522.0,0.08882227565917981,0.1966020370551947,0.7049050596414339,0.06019779285781101,0.6005888737010221,0.01827687311420009,1,1
63,Mai Khanh Tran,CA,U.S. House California District 39,Representative,0.029900000000000003,0.11689999999999999,No,Female,Nonwhite,No,No,No,Yes,Yes,No,0.3306950088570813,0.058616532397745544,0.44738283634379267,0.6693049911429186,0.28744975524794836,0.5053805330696602,0.4256105464837787,0.11911902945885033,63522.0,0.08882227565917981,0.1966020370551947,0.7049050596414339,0.06019779285781101,0.6005888737010221,0.01827687311420009,1,1
64,Sam Jammal,CA,U.S. House California District 39,Representative,0.029900000000000003,0.1198,No,Male,Nonwhite,No,No,No,No,No,Yes,0.3306950088570813,0.058616532397745544,0.44738283634379267,0.6693049911429186,0.28744975524794836,0.5053805330696602,0.4256105464837787,0.11911902945885033,63522.0,0.08882227565917981,0.1966020370551947,0.7049050596414339,0.06019779285781101,0.6005888737010221,0.01827687311420009,1,1
65,Suzi Park Leggett,CA,U.S. House California District 39,Representative,0.029900000000000003,0.032400000000000005,No,Female,Nonwhite,No,No,No,No,No,No,0.3306950088570813,0.058616532397745544,0.44738283634379267,0.6693049911429186,0.28744975524794836,0.5053805330696602,0.4256105464837787,0.11911902945885033,63522.0,0.08882227565917981,0.1966020370551947,0.7049050596414339,0.06019779285781101,0.6005888737010221,0.01827687311420009,1,1
66,Jessica Morse,CA,U.S. House California District 4,Representative,-0.1816,0.49099998,Yes,Female,White,No,No,No,No,No,No,0.6977255095489666,0.017286302908383504,0.1971374073752985,0.30227449045103344,0.09586153051371876,0.4894734360015196,0.3428447747969257,0.2020931103309297,57155.09999999999,0.09982126433250134,0.1252128048355,0.7489929992476914,0.0670177327726918,0.7145527799340945,0.5191507776739108,0,0
67,Regina Bateson,CA,U.S. House California District 4,Representative,-0.1816,0.3007,No,Female,White,No,No,No,No,No,No,0.6977255095489666,0.017286302908383504,0.1971374073752985,0.30227449045103344,0.09586153051371876,0.4894734360015196,0.3428447747969257,0.2020931103309297,57155.09999999999,0.09982126433250134,0.1252128048355,0.7489929992476914,0.0670177327726918,0.7145527799340945,0.5191507776739108,0,0
